,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Age_group,distance_group
2,0,0,26,1,0,1142,2,2,2,2,5,5,5,5,4,3,4,4,4,5,0,0.0,0,0,0
4,1,0,61,1,0,214,3,3,3,3,4,5,5,3,3,4,4,3,3,3,0,0.0,0,2,0
5,0,0,26,0,2,1180,3,4,2,1,1,2,1,1,3,4,4,4,4,1,0,0.0,1,0,0
7,0,0,52,1,0,2035,4,3,4,4,5,5,5,5,5,5,5,4,5,4,4,0.0,0,1,1
8,0,0,41,1,0,853,1,2,2,2,4,3,3,1,1,2,1,4,1,2,0,0.0,1,1,0
9,1,1,20,1,2,1061,3,3,3,4,2,3,3,2,2,3,4,4,3,2,0,0.0,1,0,0
10,0,1,24,1,2,1182,4,5,5,4,2,5,2,2,3,3,5,3,5,2,0,0.0,1,0,0
11,0,0,12,0,1,308,2,4,2,2,1,2,1,1,1,2,5,5,5,1,0,0.0,1,0,0
12,1,0,53,1,2,834,1,4,4,4,1,1,1,1,1,1,3,4,4,1,28,8.0,1,1,0
13,1,0,33,0,2,946,4,2,4,3,4,4,4,4,4,5,2,2,2,4,0,0.0,0,0,0
17,1,0,41,1,0,2075,4,4,2,4,4,4,4,5,5,5,5,3,5,5,0,10.0,0,1,1
18,0,0,45,1,0,2486,4,4,4,4,3,4,5,5,5,5,5,3,5,4,7,5.0,0,1,1
20,1,0,9,1,2,1174,2,4,2,4,2,2,1,2,1,5,3,4,3,2,0,4.0,1,0,0
21,0,0,17,0,2,208,3,1,3,3,5,3,5,5,2,5,3,3,4,5,0,0.0,1,0,0
23,0,0,58,0,2,2139,4,5,4,5,4,3,4,4,4,4,4,2,4,2,0,0.0,1,1,1
26,0,0,33,1,0,1561,1,1,1,1,1,5,3,4,4,4,3,5,4,2,0,0.0,0,0,1
27,0,0,49,1,1,315,4,4,4,4,2,2,1,4,4,4,4,2,4,2,0,8.0,0,1,0
28,0,0,36,1,0,3347,3,1,1,1,1,2,1,3,3,3,3,2,3,2,18,12.0,1,0,1
29,1,0,22,0,2,2342,3,2,3,3,3,3,1,3,2,4,3,4,2,3,19,0.0,1,0,1
31,0,1,15,1,2,1043,2,2,2,3,5,2,5,5,3,1,4,2,4,5,3,0.0,1,0,0
35,0,0,40,1,2,349,1,4,4,4,1,1,1,1,3,5,3,3,3,1,0,1.0,1,1,0
36,0,1,34,1,0,883,3,4,4,3,5,4,2,5,5,4,5,4,5,5,0,0.0,1,0,0
39,1,1,41,1,0,354,1,1,1,2,1,1,1,1,3,3,4,4,4,1,0,0.0,1,1,0
40,1,0,39,1,0,1734,4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0.0,0,0,1
42,1,0,41,1,0,296,0,0,0,3,2,5,3,4,4,4,4,4,4,3,0,0.0,0,1,0
43,0,0,38,1,0,2882,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0.0,0,0,1
45,1,0,29,1,0,529,1,1,1,1,5,5,5,5,4,2,5,5,4,5,4,0.0,0,0,0
46,0,0,22,0,0,349,2,4,2,1,4,2,4,4,4,5,4,4,5,4,0,0.0,1,0,0
48,1,0,54,1,0,612,3,3,3,3,5,2,3,5,5,5,5,4,5,3,8,0.0,0,1,0
50,1,0,28,1,2,731,2,1,1,1,2,2,2,2,3,3,2,3,3,2,14,8.0,1,0,0
51,1,0,27,1,0,2076,3,3,3,3,4,4,4,4,3,4,4,4,5,4,0,1.0,0,0,1
52,0,0,69,1,2,309,5,5,5,5,1,2,3,5,5,5,5,4,5,2,0,0.0,0,2,0
53,1,0,35,0,2,775,2,3,2,4,4,2,4,4,4,4,3,4,1,4,1,0.0,1,0,0
54,0,0,60,0,2,861,2,2,2,3,1,3,4,4,4,2,4,4,4,4,10,10.0,1,2,0
56,0,0,57,1,0,2496,0,0,0,1,3,4,5,5,5,5,5,4,5,5,0,5.0,0,1,1
57,1,0,40,1,0,602,5,5,5,5,2,5,5,5,5,5,5,3,5,4,0,0.0,0,1,0
59,1,1,23,1,2,446,2,4,2,1,4,2,4,4,4,2,4,5,5,4,4,0.0,1,0,0
60,1,1,39,1,0,216,2,2,2,3,3,2,3,3,2,1,4,2,4,3,0,0.0,1,0,0
61,0,0,52,1,0,3475,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0.0,0,1,1
62,1,1,25,1,2,646,2,1,2,2,4,2,3,4,4,4,3,2,2,4,13,1.0,1,0,0
63,0,0,48,1,0,2501,3,3,3,3,5,4,4,5,5,5,5,4,5,4,0,0.0,0,1,1
65,1,0,25,1,0,1426,3,3,3,3,4,5,4,4,5,4,4,4,4,4,4,0.0,0,0,0
66,1,0,38,0,2,190,2,4,2,3,4,2,4,4,3,2,4,4,5,4,0,0.0,1,0,0
67,1,0,46,1,0,1532,2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0.0,0,1,1
68,1,0,50,1,2,308,2,1,1,1,2,2,2,2,3,2,2,2,3,2,18,12.0,1,1,0
70,0,0,53,1,0,1506,4,4,4,4,3,4,5,5,5,5,5,4,5,5,0,0.0,0,1,1
72,1,1,39,1,0,895,2,2,2,4,5,2,5,5,5,4,4,5,5,5,0,2.0,1,0,0
74,1,0,45,0,2,909,3,5,3,2,1,3,1,1,4,4,5,3,4,1,0,0.0,1,1,0
75,0,1,25,1,0,1435,5,1,5,4,1,5,1,1,4,2,5,4,5,1,1,1.0,0,0,0
77,1,0,64,0,2,1259,4,5,4,2,2,4,2,2,4,5,3,4,4,2,20,5.0,0,2,0
78,0,1,50,1,2,216,4,0,4,4,4,4,4,4,5,2,1,4,4,4,0,0.0,1,1,0
79,0,1,41,1,0,1670,2,1,1,2,3,2,4,3,3,5,3,4,5,3,0,0.0,1,1,1
81,0,1,25,1,2,817,4,4,4,3,3,4,3,3,2,3,2,3,3,3,0,0.0,1,0,0
82,0,1,44,1,0,1670,3,3,3,4,5,3,5,5,3,2,4,2,4,5,0,8.0,1,1,1
